category,T+5d,T+21d (~1mo),T+42d (~2mo),T+63d (~3mo)
banking,1.4155077440349484,6.208603492078589,6.904657151057804,10.727080094657964
geopolitics,0.767469670988895,3.65938038777745,3.8006067075078795,5.31170242911024
markets,1.2010684812013868,2.8427209678114544,3.6339919020944627,4.5390310382921895
monetary,2.7322415800925968,6.039771042497874,7.496857647109429,7.681221228780907
pandemic,-5.624600969913115,2.5693520487326222,6.72079331830451,12.401079159328757
policy,0.46364175387529993,5.647761280410465,3.524474760572316,-2.670872588072112
politics,1.875542718551302,3.5876784546548515,2.326620320670789,3.3568522874350317
tariff,-1.5588917673972262,1.9138625838030363,-1.9977650247188152,2.93226564214982
technology,-1.971879462374636,-3.508831774228983,-2.248739211108783,-4.616325104460622
